trt,Estimate,sd,Lower,Upper
1,179.8348201,0.416679025,179.0168815,180.6527587
2,183.0214793,0.434918905,182.1677359,183.8752226
3,177.8984418,0.346807359,177.2176609,178.5792227
4,181.3455625,0.418710044,180.523637,182.167488
5,182.5885483,0.717239961,181.1806102,183.9964863
6,186.3176705,1.008211255,184.3385574,188.2967836
7,181.002713,0.591933091,179.8407516,182.1646744
8,182.9946468,0.65744615,181.7040837,184.2852099
9,187.7025713,0.443005731,186.8329535,188.5721891
10,190.14485,0.53314759,189.0982842,191.1914157
11,186.375791,0.549434665,185.2972538,187.4543282
12,188.6679335,0.579487974,187.5304019,189.8054652
13,190.0246627,1.025141316,188.012316,192.0370094
14,191.4434416,1.101961482,189.2802974,193.6065859
15,189.3519783,1.109057276,187.174905,191.5290515
16,190.4274082,1.172153598,188.1264772,192.7283392